Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.000238151, 0.000141363, 9.5891e-05, 2.6799e-05, 5602, 1605, 1815
0.000413424, 0.000337496, 7.4343e-05, 1.5619e-05, 5702, 1395, 924
0.000375768, 0.000211148, 0.000163568, 4.6022e-05, 5924, 1591, 2739
0.00043599, 0.000239503, 0.000195618, 6.6504e-05, 5303, 1523, 4719
0.000503189, 0.000275282, 0.000223525, 7.0131e-05, 5625, 1621, 5742
0.000567231, 0.000270324, 0.000296034, 0.000109004, 5312, 1743, 5808
0.000460129, 0.000252355, 0.000206908, 6.6063e-05, 5810, 1851, 4488
0.000531183, 0.00036942, 0.000160974, 5.2738e-05, 5400, 1354, 1980
0.0004044, 0.00021676, 0.00018633, 6.8978e-05, 5087, 1060, 5709
0.000395161, 0.000200544, 0.000193093, 7.317e-05, 4762, 1117, 4719
0.000444174, 0.000232274, 0.000210871, 7.4775e-05, 5062, 1226, 3828
0.000355262, 0.000215162, 0.000138956, 5.0239e-05, 5603, 1413, 3366
0.000448538, 0.000331076, 0.000115808, 4.1014e-05, 5514, 1209, 3135
0.000300768, 0.000202787, 9.7055e-05, 2.7801e-05, 5675, 1339, 1683
0.000448906, 0.000196636, 0.000251, 7.9338e-05, 5967, 1520, 3135
0.000409476, 0.000199604, 0.000208609, 6.6341e-05, 6031, 1706, 4224
0.000457426, 0.000224346, 0.000232131, 8.4711e-05, 5445, 1648, 3861
0.0003557, 0.000197645, 0.00015712, 4.8113e-05, 6090, 1815, 2937
0.000387816, 0.000220554, 0.000166125, 5.2686e-05, 5560, 1725, 4059
0.000336943, 0.000175106, 0.000160766, 5.1958e-05, 5775, 1835, 3828
0.000532182, 0.000293342, 0.000237748, 7.0363e-05, 5960, 1822, 3630
0.000401915, 0.000193937, 0.000207107, 8.6384e-05, 5930, 1758, 2805
0.000382834, 0.000235606, 0.000146109, 4.2954e-05, 5826, 1726, 2640
0.000428002, 0.000262442, 0.000164665, 4.0722e-05, 6000, 1696, 1815
0.000375939, 0.000194212, 0.000180482, 5.2302e-05, 5989, 1711, 2211
0.000330491, 0.000228619, 0.000101157, 2.1454e-05, 5662, 1624, 1254
