mapping(ms), replan(ms), sfc(ms), mpc(ms), df(ms), 
0, 0, 0, 0.295044, 0.000996, 
0, 0, 0, 0.315109, 0.000765, 
0.394158, 0, 0, 0.447188, 0.001165, 
0, 0, 0, 0.265393, 0.000724, 
0, 0, 0, 0.416081, 0.000755, 
0, 0, 0, 0.414552, 0.001017, 
0, 0, 0, 0.423415, 0.001072, 
0.100985, 0, 0, 0.266346, 0.000816, 
0, 0, 0, 0.261569, 0.000544, 
0, 0, 0, 0.275815, 0.000835, 
0, 0, 0, 0.295753, 0.001418, 
0, 0, 0, 0.27117, 0.000732, 
0.040177, 0, 0, 0.429089, 0.001494, 
0, 0, 0, 0.28605, 0.000689, 
0, 0, 0, 0.272245, 0.000924, 
0, 0, 0, 0.385074, 0.00075, 
0, 0, 0, 0.27425, 0.000727, 
0.156836, 0, 0, 0.289244, 0.000839, 
0, 0, 0, 0.26923, 0.000631, 
0, 0, 0, 0.296874, 0.000683, 
0, 0, 0, 0.300217, 0.000903, 
0, 0, 0, 0.476942, 0.001129, 
0.204651, 0, 0, 0.263719, 0.001533, 
0, 0, 0, 0.415938, 0.000935, 
0, 0, 0, 0.409, 0.000966, 
0, 0, 0, 0.427707, 0.000977, 
0, 0, 0, 0.27163, 0.000749, 
0.025265, 0, 0, 0.268937, 0.000605, 
0, 0, 0, 0.25896, 0.000612, 
0, 0, 0, 0.248911, 0.000377, 
0, 0, 0, 0.254148, 0.000678, 
0, 0, 0, 0.434928, 0.001341, 
0.093657, 0, 0, 0.258619, 0.000915, 
0, 0, 0, 0.338524, 0.000732, 
0, 0, 0, 0.252589, 0.000523, 
0, 0, 0, 0.267584, 0.000653, 
0, 0, 0, 0.441534, 0.000945, 
0.182123, 0, 0, 0.27361, 0.000737, 
0, 0, 0, 0.26421, 0.000909, 
0, 0, 0, 0.311197, 0.000664, 
0, 0, 0, 0.354218, 0.000595, 
0.065404, 0, 0, 0.28535, 0.000821, 
0, 0, 0, 0.275009, 0.000682, 
0, 0, 0, 0.302148, 0.000327, 
0, 0, 0, 0.268711, 0.0006, 
0, 0, 0, 0.269713, 0.000668, 
0.054759, 0, 0, 0.286324, 0.000709, 
0, 0, 0, 0.282022, 0.000648, 
0, 0, 0, 0.437027, 0.001183, 
0, 0, 0, 0.407244, 0.00092, 
0.29971, 0, 0, 0.40888, 0.00125, 
